business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mahakal Hair Style,Unisex Salon,Hair salon,Hair salon,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 77510 14991,N/A,5.0,1.0,"9V7W+H6V, SH 25, Malkangiri, Dangarguda, Odisha 764045",764047,18.3642029,81.8954949,ChIJ3-b1ZgCTMDoRU0PqH8DQl7A,https://www.google.com/maps/place/?q=place_id:ChIJ3-b1ZgCTMDoRU0PqH8DQl7A,part_351,2026-09-20 20:18:17,3314
RAJU HAIR CARE SALOON,Unisex Salon,Hair salon,Hair salon,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 93480 02661,N/A,,,"Malkangiri, Goreguda, Odisha 764045",764047,18.35191,81.8849714,ChIJvXn_vnOTMDoRfY1cpKn47wE,https://www.google.com/maps/place/?q=place_id:ChIJvXn_vnOTMDoRfY1cpKn47wE,part_351,2026-09-20 20:18:17,3315
The Royal Hair Saloon,Unisex Salon,Hairdresser,Hairdresser,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",N/A,N/A,,,"near HDFC bank, Malkangiri, Gaudaguda, Odisha 764045",764047,18.3435863,81.8825279,ChIJz6N3-n2VMDoRdmep00rb95k,https://www.google.com/maps/place/?q=place_id:ChIJz6N3-n2VMDoRdmep00rb95k,part_351,2026-09-20 20:18:17,3316
Visage unisex salon Raghunathpur,Unisex Salon,Beauty Parlour,"Beauty Parlour, Hair extension technician, Make-up artist, Massage spa, Nail salon, Spa, Hairdresser",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 99372 50495,N/A,5.0,,"1st Floor, Royal Arcade, Shop no -113, Visage, Raghunathpur, Bhubaneswar, Odisha 751024","Visage, Raghunathpur",20.374656299999998,85.830946,ChIJl0hLaOMJGToRTk9o5lGgde0,https://www.google.com/maps/place/?q=place_id:ChIJl0hLaOMJGToRTk9o5lGgde0,part_351,2026-09-20 20:18:18,3317
"DYLAN VISAGE UNISEX HAIR SALON, CDA-6, CUTTACK",Unisex Salon,Beauty Parlour,"Beauty Parlour, Facial spa, Spa",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 78548 94844,N/A,4.7,,"C/1120, 1st FLOOR, SECTOR - 6, NEAR 6no. PARK, near SARASWATI SISHU MANDIR, CDA Sector VI, Kataka, Odisha 753014",CDA Sector VI,20.4769802,85.84141609999999,ChIJQ3IXTyMRGToRghijx6VpErU,https://www.google.com/maps/place/?q=place_id:ChIJQ3IXTyMRGToRghijx6VpErU,part_351,2026-09-20 20:18:18,3318
The US Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 63701 08692,http://www.theussalon.com/,4.8,,"1st Floor, Plot No 555/573, opposite to ICICI Bank, Jagamara, Khandagiri, Bhubaneswar, Odisha 751030","Jagamara, Khandagiri",20.2566873,85.7972961,ChIJQ_93NACnGToRfjGtbRDA0k4,https://www.google.com/maps/place/?q=place_id:ChIJQ_93NACnGToRfjGtbRDA0k4,part_351,2026-09-20 20:18:18,3319
S.KUMAR'S WOMEN'S SALON,Unisex Salon,Beauty Parlour,Beauty Parlour,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 95836 27777,http://merasalon.in/,4.6,,"Back side of Girls high school, Kantabanji, Odisha 767039",764047,20.4697993,82.92163359999999,ChIJ7zyfW1pNJDoRcHWMU6gJOhA,https://www.google.com/maps/place/?q=place_id:ChIJ7zyfW1pNJDoRcHWMU6gJOhA,part_351,2026-09-20 20:18:18,3320
Naturals Salon balangir,Unisex Salon,Beauty Parlour,"Beauty Parlour, Facial spa, Make-up artist, Nail salon, Hairdresser",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 96923 59901,https://salons.naturals.in/naturals-salon-beauty-salons-old-sbi-road-balangir-373402/Home,4.8,,"1st floor, Old SBI Rd, near Reliance Digital, Balangir, Odisha 767001",764047,20.705740499999997,83.49193729999999,ChIJuxqVWE4PJDoRb0YPOg3OkW0,https://www.google.com/maps/place/?q=place_id:ChIJuxqVWE4PJDoRb0YPOg3OkW0,part_351,2026-09-20 20:18:18,3321
4 Season Unisex Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Bridal shop, Eyelash salon, Hair removal service, Nail salon, Spa, Tanning salon, Hairdresser, Waxing hair removal service",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 89848 88786,https://www.facebook.com/salon4season,4.7,,"Plot Number 803, Mayfair Road , Near Mayfair Hotel, Jayadev Vihar, Nayapalli, Bhubaneswar, Odisha 751013",Nayapalli,20.2994342,85.81908949999999,ChIJycsCC9MJGToRA0hJmxgY7rU,https://www.google.com/maps/place/?q=place_id:ChIJycsCC9MJGToRA0hJmxgY7rU,part_351,2026-09-20 20:18:18,3322
BUNIL SALOON,Unisex Salon,Barber shop,Barber shop,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 82808 79651,N/A,4.3,,"Shop No 1, Power House, Road, Balimela, Bhubaneswar, Odisha 764051",764047,18.2212002,82.0612716,ChIJJ4ZWdN6iMDoRqXOYyXPjDeI,https://www.google.com/maps/place/?q=place_id:ChIJJ4ZWdN6iMDoRqXOYyXPjDeI,part_351,2026-09-20 20:18:18,3323
Layers Unisex Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber shop",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 82497 86021,N/A,4.5,,"Layers unisex salon, Railway Station Rd, near Chand jagnnath, Tikrapara, Malpada, Balangir, Odisha 767001","Tikrapara, Malpada",20.7004998,83.4902942,ChIJc4gFyx4PJDoRi1ctZZG4SWk,https://www.google.com/maps/place/?q=place_id:ChIJc4gFyx4PJDoRi1ctZZG4SWk,part_351,2026-09-20 20:18:18,3324
"AVENR UNISEX SALON ,Samantrapur",Unisex Salon,Beauty Parlour,Beauty Parlour,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 89841 95872,http://avenrunisexsalon.com/,4.8,,"1st floor, Plot - 524, Lewis Rd, above Bank of Baroda, Samantarapur, Old Town, Bhubaneswar, Odisha 751002","Samantarapur, Old Town",20.233896599999998,85.8413631,ChIJLVPnpuunGToRE0_ztJYDeuc,https://www.google.com/maps/place/?q=place_id:ChIJLVPnpuunGToRE0_ztJYDeuc,part_351,2026-09-20 20:18:19,3325
AVENR UNISEX SALON,Unisex Salon,Beauty Parlour,Beauty Parlour,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 78529 16202,N/A,4.8,,"Stalwart Palace, 2540, Rath Rd, Shiva Nagar, Old Town, Bhubaneswar, Odisha 751002","Shiva Nagar, Old Town",20.2472657,85.83313,ChIJDeLlPwCnGToRpx8g6bwBwu8,https://www.google.com/maps/place/?q=place_id:ChIJDeLlPwCnGToRpx8g6bwBwu8,part_351,2026-09-20 20:18:19,3326
The Glam Gallery Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 63714 94611,N/A,4.8,,"Tamando Rd, near DN Regalia Road, Tamando Bazar, Kalinganagar, Bhubaneswar, Odisha 751028","Tamando Bazar, Kalinganagar",20.2374182,85.7509451,ChIJ6YIedKypGToR4xWazWcZmrU,https://www.google.com/maps/place/?q=place_id:ChIJ6YIedKypGToR4xWazWcZmrU,part_351,2026-09-20 20:18:19,3327
B21 Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber shop, Ear piercing service, Make-up artist, Nail salon, Hairdresser, Waxing hair removal service",764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 81178 40978,http://b21india.com/,4.9,,"4762 Biju, Plot no - 369, Biju Pattnaik College Rd, Jayadev Vihar, Bhubaneswar, Odisha 751013",Jayadev Vihar,20.2981894,85.814325,ChIJR9KhSQAJGToRlIOQEqt0CDA,https://www.google.com/maps/place/?q=place_id:ChIJR9KhSQAJGToRlIOQEqt0CDA,part_351,2026-09-20 20:18:19,3328
Nikhar Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O",+91 98611 47468,http://www.nikharunisexsalon.com/,4.9,,"Annapurna Market, near Hotel Bhubaneswari Classic, Baidiya Nath Pur, Brahmapur, Odisha 760001",Baidiya Nath Pur,19.313408,84.7887386,ChIJI99sgA5QPToRK7Kws0xX3po,https://www.google.com/maps/place/?q=place_id:ChIJI99sgA5QPToRK7Kws0xX3po,part_351,2026-09-20 20:18:19,3329
