business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
NE SOFTWARE SOLUTIONS,POS and Billing Software Vendor,Software company,"Software company, Printer repair service",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 93653 35957,http://www.nesoftwaresolutions.co.in/,5.0,15.0,"AK Azad Rd, opposite Harimal Complex, Rehabari, Guwahati, Assam 781008",Rehabari,26.1766312,91.7499117,ChIJV-Yy9EdbWjcR-gmK3GqN-gs,https://www.google.com/maps/place/?q=place_id:ChIJV-Yy9EdbWjcR-gmK3GqN-gs,part_357,2026-09-20 20:18:31,5569
Sarathi POS,POS and Billing Software Vendor,Software company,Software company,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,https://sarathipos.com/,,,"Chaolung Sukaphaa Path, Hatigaon Chariali, Sijubari, Hatigaon, Guwahati, Assam 781038","Hatigaon Chariali, Sijubari, Hatigaon",26.128902999999998,91.7855154,ChIJd6XjDu9ZWjcRwQic7FGglf0,https://www.google.com/maps/place/?q=place_id:ChIJd6XjDu9ZWjcRwQic7FGglf0,part_357,2026-09-20 20:18:31,5570
INDRA SOFTWARE SOLUTIONS,POS and Billing Software Vendor,Software company,"Software company, Computer repair service, Computer software store, Computer store, Computer support and services, Medical billing service",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 96780 66624,https://indrasoftwaresolutions.in/,5.0,126.0,"Police Thana Rd, Gopinath Nagar Rd, Birubari, Guwahati, Assam 781016",Birubari,26.1613042,91.748984,ChIJBYOOdgBbWjcRFWUjGC73UqQ,https://www.google.com/maps/place/?q=place_id:ChIJBYOOdgBbWjcRFWUjGC73UqQ,part_357,2026-09-20 20:18:31,5571
TECHNOSOL WORLD (MARG ERP 9+),POS and Billing Software Vendor,Computer support and services,Computer support and services,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 91270 72344,http://www.technosolworld.in/,4.9,204.0,"Danish Rd, opp. MAMTORA BROTHERS, Lakhtokia, Pan Bazaar, Guwahati, Assam 781001","Lakhtokia, Pan Bazaar",26.183654699999998,91.7419599,ChIJZfIyOHJbWjcRYCkbvIXiSoc,https://www.google.com/maps/place/?q=place_id:ChIJZfIyOHJbWjcRYCkbvIXiSoc,part_357,2026-09-20 20:18:31,5572
Bizobill,POS and Billing Software Vendor,Software company,Software company,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 97061 38114,https://bizobill.in/,5.0,1.0,"Chaolung Sukaphaa Path, Hatigaon Chariali, Sijubari, Hatigaon, Guwahati, Assam 781038","Hatigaon Chariali, Sijubari, Hatigaon",26.128874999999997,91.7854431,ChIJx7KV2ExZWjcR5Ue_9w2xsqM,https://www.google.com/maps/place/?q=place_id:ChIJx7KV2ExZWjcR5Ue_9w2xsqM,part_357,2026-09-20 20:18:31,5573
HomeDrop,POS and Billing Software Vendor,Software company,Software company,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,https://www.digidukandar.com/,4.3,23.0,"Bakulnagar, Maligaon, Guwahati, Assam 781014","Bakulnagar, Maligaon",26.149301599999998,91.67870479999999,ChIJNdhYfEpbWjcRDref8DGbOhk,https://www.google.com/maps/place/?q=place_id:ChIJNdhYfEpbWjcRDref8DGbOhk,part_357,2026-09-20 20:18:31,5574
Techxtra india,POS and Billing Software Vendor,Software company,"Software company, Business to business service, Office equipment supplier, Paper store, Printer repair service, Computer software store",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70021 57566,http://techxtraindia.com/,5.0,79.0,"Ground Floor, Ahmed Complex, SS Rd, opp. Indian Bank, near Swiss Watch Lakhtokiya, Kamarpatty, Fancy Bazaar, Guwahati, Assam 781001","Kamarpatty, Fancy Bazaar",26.182108,91.7422637,ChIJx2xW_jBaWjcR1xSfyMqxDRE,https://www.google.com/maps/place/?q=place_id:ChIJx2xW_jBaWjcR1xSfyMqxDRE,part_357,2026-09-20 20:18:31,5575
CREATIVE VISION (Tally Certified Partner),POS and Billing Software Vendor,Software company,"Software company, Computer service, Computer store, POS terminal supplier",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 88120 11049,https://www.creativevisionhub.in/,4.8,21.0,"House No:1, 1st Floor, R.G Baruah Road, Nilgiri Path, behind Blue Dart Express, Guwahati, Assam 781024",Ambikagirinagar,26.1712217,91.7785428,ChIJ55CgiRJZWjcRUJEjURjWRnU,https://www.google.com/maps/place/?q=place_id:ChIJ55CgiRJZWjcRUJEjURjWRnU,part_357,2026-09-20 20:18:31,5576
Prasad Trading Co,POS and Billing Software Vendor,Computer support and services,"Computer support and services, Electronics store, Machine shop, Office equipment supplier, POS terminal supplier",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 94350 15937,https://www.prasadtrading.com/,4.0,72.0,"24, New Field Commercial Complex, Md Saha road, PWD Colony, Paltan Bazaar, Guwahati, Assam 781008","PWD Colony, Paltan Bazaar",26.1792199,91.74827289999999,ChIJlTRNvC5aWjcRJWhF9hng6v8,https://www.google.com/maps/place/?q=place_id:ChIJlTRNvC5aWjcRJWhF9hng6v8,part_357,2026-09-20 20:18:31,5577
MHC Technology Services (OPC) Private Limited,POS and Billing Software Vendor,Computer support and services,"Computer support and services, Computer security service, Data Entry Service Provider, E-commerce service",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98548 39946,http://www.mhcmart.com/,4.7,156.0,"G.S Road, Tribeni Path, Ganeshguri, Guwahati, Assam 781006","Swaraj Nagar, Ganeshguri",26.148405399999998,91.78753549999999,ChIJtyqbPVNZWjcRjB2e0lYotDY,https://www.google.com/maps/place/?q=place_id:ChIJtyqbPVNZWjcRjB2e0lYotDY,part_357,2026-09-20 20:18:31,5578
Billing Software in Chennai | Kassapos Software Solutions,POS and Billing Software Vendor,Software company,"Software company, Computer software store, E-commerce service",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 87540 31480,https://www.kassapos.in/,4.8,737.0,"No.1 181, 1st Floor, Elumalai Salai St, Nanmangalam, Tamil Nadu 600129","Manigandan Nagar, Guduvancherry, Nanmangalam",12.9388703,80.1786947,ChIJr67qJYReUjoRXFX1FfpgpUU,https://www.google.com/maps/place/?q=place_id:ChIJr67qJYReUjoRXFX1FfpgpUU,part_357,2026-09-20 20:18:31,5579
Bynoqlus Technologies,POS and Billing Software Vendor,Software company,Software company,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 99549 46927,https://www.bynoqlus.in/,5.0,4.0,"House no. 6, Mahananda Tamuli Path, Dakhingaon - Sawkuchi Rd, near Rangman Nagar Namghar, Lakhara, Sarusajai, Guwahati, Assam 781040","Lakhara, Sarusajai",26.1105542,91.75872559999999,ChIJNZQk-n5fWjcROfUJXo4tw4k,https://www.google.com/maps/place/?q=place_id:ChIJNZQk-n5fWjcROfUJXo4tw4k,part_357,2026-09-20 20:18:31,5580
Openlogic Business Solutions Pvt Ltd,POS and Billing Software Vendor,Software company,Software company,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,N/A,N/A,5.0,1.0,"House No:98, First Floor, Tangra Satra Rd, opposite of Catla Broadband, Jaya Nagar, Six Mile, Guwahati, Assam 781028","Jaya Nagar, Six Mile",26.1322868,91.8027671,ChIJ202oIc5YWjcRtyEveV0nBMo,https://www.google.com/maps/place/?q=place_id:ChIJ202oIc5YWjcRtyEveV0nBMo,part_357,2026-09-20 20:18:31,5581
Reynrel Infotech,POS and Billing Software Vendor,Software company,"Software company, Computer consultant, Computer support and services, Website designer",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 98647 73099,http://reynrel.in/,5.0,2.0,"House no 46, LKRB Path, Nabin Nagar, Guwahati, Assam 781024",Nabin Nagar,26.1699889,91.77582989999999,ChIJfXZkxTZZWjcRFtIZ2gCOnZs,https://www.google.com/maps/place/?q=place_id:ChIJfXZkxTZZWjcRFtIZ2gCOnZs,part_357,2026-09-20 20:18:31,5582
Marg software guwahati - Marg ERP 9+,POS and Billing Software Vendor,Software company,Software company,781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 84864 45651,N/A,5.0,,"RG Baruah Rd, Bhaskar Nagar, Guwahati, Assam 781003",Bhaskar Nagar,26.1763318,91.7760236,ChIJNTIIO69ZWjcRoag1TSTCWfI,https://www.google.com/maps/place/?q=place_id:ChIJNTIIO69ZWjcRoag1TSTCWfI,part_357,2026-09-20 20:18:33,5583
convergence software solutions,POS and Billing Software Vendor,Software company,"Software company, E-commerce service, Web hosting company, Website designer",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70027 02893,https://www.cssghy.in/,5.0,,"18 east, Bakulban Path, Lakhimi Nagar, sundarpur, Hatigaon, Guwahati, Assam 781005","Lakhimi Nagar, sundarpur, Hatigaon",26.137441199999998,91.7803004,ChIJY_YqhRpZWjcRxFQzDFQ1TcQ,https://www.google.com/maps/place/?q=place_id:ChIJY_YqhRpZWjcRxFQzDFQ1TcQ,part_357,2026-09-20 20:18:33,5584
24 Tech Soft,POS and Billing Software Vendor,Software company,"Software company, Computer support and services, Website designer",781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O,+91 70022 43408,https://www.24techsoft.com/,4.5,,"Harabala Market, GMC Hospital Rd, Bhangagarh, Guwahati, Assam 781032",Bhangagarh,26.1632864,91.7675325,ChIJKRA6telYWjcRMx7iJEMS4ro,https://www.google.com/maps/place/?q=place_id:ChIJKRA6telYWjcRMx7iJEMS4ro,part_357,2026-09-20 20:18:33,5585
