business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Govt Accredited Driver Training Centre Barpeta,Driving School,Drivers license training school,Drivers license training school,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 76009 84666,https://ftaadtc.com/,4.9,,"Ward No. 8, Mairamara Main Rd, Amtol, Howly, Hatijana, Assam 781316",Amtol,26.413940099999998,90.974187,ChIJwTx_5GifWTcRxx0uozTEOUU,https://www.google.com/maps/place/?q=place_id:ChIJwTx_5GifWTcRxx0uozTEOUU,part_358,2026-09-20 20:49:08,1894
BKS Motors Driving Training School,Driving School,Driving school,Driving school,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 97071 71938,http://bksmdtsmakhibaha.wordpress.com/,4.9,,"BKS Motor Driving Training School, near Makhibaha, Harimandir, Makhibaha, Tihu, Assam 781374",Harimandir,26.4399569,91.2644761,ChIJi8arhOnUWzcRaBYKxbbnN6Y,https://www.google.com/maps/place/?q=place_id:ChIJi8arhOnUWzcRaBYKxbbnN6Y,part_358,2026-09-20 20:49:08,1895
Jaysingh Basumatary,Driving School,Driving school,Driving school,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,,,"Barpeta 127, Bhutan Rd, Odal Guri, Assam 781330",781327,26.7423242,91.2076258,ChIJ7wMQO3VhWTcRkxP57G9hbZk,https://www.google.com/maps/place/?q=place_id:ChIJ7wMQO3VhWTcRkxP57G9hbZk,part_358,2026-09-20 20:49:08,1896
Maruti Suzuki Driving school,Driving School,Driving school,Driving school,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 60009 00380,https://www.pcwmaruti.com/,5.0,,"opp. district industries office, Sonkuchi, Barpeta, Assam 781314",Sonkuchi,26.3418392,90.99847,ChIJiYMGIiqdWTcROfWDXcQJkrI,https://www.google.com/maps/place/?q=place_id:ChIJiYMGIiqdWTcROfWDXcQJkrI,part_358,2026-09-20 20:49:08,1897
Maruti Suzuki Driving School,Driving School,Driving school,Driving school,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 84029 69173,N/A,4.9,,"Rd Motors P.O.Nikamul Satra, near Don Bosco School, Tezpur, Assam 784154",Patiachubri,26.6529289,92.7916267,ChIJ46guwOnpRDcRPTEClzwXSGE,https://www.google.com/maps/place/?q=place_id:ChIJ46guwOnpRDcRPTEClzwXSGE,part_358,2026-09-20 20:49:08,1898
A. P. Institute of Driving Training,Driving School,Driving school,Driving school,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 81348 41814,N/A,4.9,,"B. Barua Road, Near GD Nurshing Home (old), Marwaripatty, Nagaon, Assam 782001",781327,26.3539303,92.687328,ChIJrYE4t9gmRTcRkus6S7KkkPQ,https://www.google.com/maps/place/?q=place_id:ChIJrYE4t9gmRTcRkus6S7KkkPQ,part_358,2026-09-20 20:49:08,1899
Chalchali,Driving School,Driving school,Driving school,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,,,"M5W9+7V9, Vill-chalchali, po, Betbari, Assam 781327",781327,26.695651899999998,91.1697385,ChIJmwO6aABjWTcRHbNMB3JE7rY,https://www.google.com/maps/place/?q=place_id:ChIJmwO6aABjWTcRHbNMB3JE7rY,part_358,2026-09-20 20:49:08,1900
Rahul Kashyap Nath,Driving School,Driving school,Driving school,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",N/A,N/A,,,"Nikashi Road, Mushalpur, Banahopa, Assam 781377",781327,26.677747699999998,91.3244795,ChIJ3xQVZuTbWzcRqiEFhiYkVds,https://www.google.com/maps/place/?q=place_id:ChIJ3xQVZuTbWzcRqiEFhiYkVds,part_358,2026-09-20 20:49:08,1901
Jimy Car Driving School (Govt. Recognised),Driving School,Driving school,Driving school,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 88763 50946,https://www.google.co.in/search?q=jimy+car+driving+school&oq=jimy&aqs=chrome.1.69i57j69i59.3194j0j7&sourceid=chrome&ie=UTF-8#,4.8,,"House No-165, near Jute Mill, Gopinath Nagar, PO:, Kala Pahar, Guwahati, Assam 781016","Gopinath Nagar, PO:, Kala Pahar",26.160198899999997,91.7426012,ChIJu37VZcVbWjcRQbLrFYZyaes,https://www.google.com/maps/place/?q=place_id:ChIJu37VZcVbWjcRQbLrFYZyaes,part_358,2026-09-20 20:49:09,1902
JRD Motor Driving Training School (Govt. Recognised),Driving School,Driving school,"Driving school, Drivers license training school",781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 70028 17361,https://jrdmotordrivingschool.com/,4.9,,"HOUSE NO -2, PRABIN NIWAS, Chinaki Path, Rukmini Gaon, Guwahati, Assam 781006",Rukmini Gaon,26.135679099999997,91.79357859999999,ChIJRRGWuy1ZWjcRzGvfCC4NMP8,https://www.google.com/maps/place/?q=place_id:ChIJRRGWuy1ZWjcRzGvfCC4NMP8,part_358,2026-09-20 20:49:09,1903
Guwahati Drive Academy,Driving School,Driving school,Driving school,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 81358 75825,N/A,4.8,,"h. No 40 charali, near Laxmi mandir, Ambikagirinagar, Guwahati, Assam 781024",Ambikagirinagar,26.1686233,91.7853847,ChIJ-5H3SQBZWjcR-_q2aUnoV-Y,https://www.google.com/maps/place/?q=place_id:ChIJ-5H3SQBZWjcR-_q2aUnoV-Y,part_358,2026-09-20 20:49:09,1904
Sankardev Driving Training School,Driving School,Driving school,Driving school,781327,Assam Circle,N/A,Nalbari Division,"Jalahghat S.O, Anchali B.O, Bakua B.O",+91 91016 56519,N/A,4.9,,"99F4+RXW, Naoholia Tipling, Jaloni Naohalia, Assam 786191",781327,27.3746011,95.357452,ChIJOasaj2JBPzcR6ZmWRWxrKvc,https://www.google.com/maps/place/?q=place_id:ChIJOasaj2JBPzcR6ZmWRWxrKvc,part_358,2026-09-20 20:49:09,1905
