business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sahu Flour Mill,Flour Mill,Flour mill,Flour mill,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,3.0,1.0,"Pradeshi Pada, PWD Colony, Naktiguda, Bhawanipatna, Odisha 766001","PWD Colony, Naktiguda",19.906062499999997,83.15656249999999,ChIJ_Z5bWR3pJDoRvhoF6i0st5s,https://www.google.com/maps/place/?q=place_id:ChIJ_Z5bWR3pJDoRvhoF6i0st5s,part_352,2026-09-20 20:17:58,26
Zeen mata agro industry,Flour Mill,Rice mill,Rice mill,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,5.0,2.0,"566R+GQX, Sirol, Odisha 766012",766011,20.1613552,83.2419752,ChIJmac14QH1JDoRDtEIKoo3Tvg,https://www.google.com/maps/place/?q=place_id:ChIJmac14QH1JDoRDtEIKoo3Tvg,part_352,2026-09-20 20:17:58,27
B K Food Products Pvt Ltd,Flour Mill,Rice mill,Rice mill,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,4.5,2.0,"557X+PJ, Kesinga, Odisha 766012",766011,20.164372,83.19907599999999,ChIJ6RxzXwD1JDoRn8Gr2NKDCT0,https://www.google.com/maps/place/?q=place_id:ChIJ6RxzXwD1JDoRn8Gr2NKDCT0,part_352,2026-09-20 20:17:58,28
Omm Shanti Rice And Flour Mill,Flour Mill,Rice mill,Rice mill,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,5.0,1.0,"KANCHAN BISWAS, C/O, beside OM SHANTI RICE MILL, Sanabharandi, Odisha 764073",766011,19.6379189,82.2435388,ChIJ8Wf7ClhYJToRpPhLgzH0onQ,https://www.google.com/maps/place/?q=place_id:ChIJ8Wf7ClhYJToRpPhLgzH0onQ,part_352,2026-09-20 20:17:58,29
Shree Hanuman Oil And Flour Mill,Flour Mill,Mill,Mill,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 99370 77527,N/A,3.0,2.0,"FW96+CPW, Kantabanji, Odisha 767039",766011,20.4686155,82.9118208,ChIJNQgzxatMJDoRI9J1Tr1cmA0,https://www.google.com/maps/place/?q=place_id:ChIJNQgzxatMJDoRI9J1Tr1cmA0,part_352,2026-09-20 20:17:58,30
Shree Kshetra Poha Mill Kaudola,Flour Mill,Flour mill,Flour mill,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 97760 77308,N/A,3.7,7.0,"Kaudola, Odisha 766019",766011,19.6284124,82.6663509,ChIJhdVCbhQ6JToRqv0lOV0wAxs,https://www.google.com/maps/place/?q=place_id:ChIJhdVCbhQ6JToRqv0lOV0wAxs,part_352,2026-09-20 20:17:58,31
Pankaj Milling Work,Flour Mill,Flour mill,Flour mill,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,5.0,1.0,"3PVV+WWC, Hatibandha, Odisha 766108",766011,20.0948182,82.7447809,ChIJL5sVdgAHJToRpg-tL0yiiyU,https://www.google.com/maps/place/?q=place_id:ChIJL5sVdgAHJToRpg-tL0yiiyU,part_352,2026-09-20 20:17:58,32
Jai Durga Mill,Flour Mill,Flour mill,Flour mill,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,,,"opposite Govt. Hospital, Sindhekela, Odisha 767035",766011,20.2270649,82.93902059999999,ChIJ7V8RXQBVJDoRFFo4ZLZ3jaI,https://www.google.com/maps/place/?q=place_id:ChIJ7V8RXQBVJDoRFFo4ZLZ3jaI,part_352,2026-09-20 20:17:58,33
Bhoi Flour Mill,Flour Mill,Flour mill,Flour mill,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,4.0,1.0,"Sandunguriguda.p.o, Teresinga Road, Risida, Sargulmalpara, Odisha 766031",766011,20.3803025,83.4326682,ChIJyYFKl7l7JDoRSyeZiTbp-_M,https://www.google.com/maps/place/?q=place_id:ChIJyYFKl7l7JDoRSyeZiTbp-_M,part_352,2026-09-20 20:17:58,34
Makaraguda Rice Mill,Flour Mill,Rice mill,Rice mill,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,5.0,1.0,"Makaraguda, Mahaling, Chapria, Odisha 766036",Makaraguda,20.1142665,82.8545659,ChIJMaWPiFUBJToRXZJEufxtji0,https://www.google.com/maps/place/?q=place_id:ChIJMaWPiFUBJToRXZJEufxtji0,part_352,2026-09-20 20:17:58,35
Maa Samleswari Flour Mill,Flour Mill,Flour mill,Flour mill,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,,,"near Government Post Office, Sindhekela, Odisha 767035",766011,20.2304931,82.9424902,ChIJexiFQ5ZVJDoRaonRtkgS5js,https://www.google.com/maps/place/?q=place_id:ChIJexiFQ5ZVJDoRaonRtkgS5js,part_352,2026-09-20 20:17:58,36
MAA ADILAXMI FLOUR MILL,Flour Mill,Food manufacturer,Food manufacturer,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",+91 93370 69629,N/A,4.8,,"Chandralok Market Complex, near Durga Mandap Lane, Sector-1, HIG Colony, Niladri Vihar, Chandrasekharpur, Bhubaneswar, Odisha 751021","Sector-1, HIG Colony, Niladri Vihar, Chandrasekharpur",20.3276923,85.81219039999999,ChIJX1RO8cgJGToRudGjyhtfjOA,https://www.google.com/maps/place/?q=place_id:ChIJX1RO8cgJGToRudGjyhtfjOA,part_352,2026-09-20 20:17:59,37
"Utkela, Odisha 766011",Flour Mill,Postal code,Postal code,766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O",N/A,N/A,,,"Utkela, Odisha",766011,20.057552899999997,83.2077645,ChIJR2PUCAvxJDoRHbci7z-yomg,https://www.google.com/maps/place/?q=place_id:ChIJR2PUCAvxJDoRHbci7z-yomg,part_352,2026-09-20 20:18:00,38
Mishra flour mill,Flour Mill,Industrial area,Industrial area,766012,Odisha Circle,Berhampur Region,Kalahandi Division,"Kesinga S.O, Belkhandi B.O, Boria B.O",N/A,N/A,,,"Hikudi, Jogi Gumpha, Odisha 767062",766012,20.881878699999998,83.9134165,ChIJE93WJJnnIzoR5lKHnuz30oQ,https://www.google.com/maps/place/?q=place_id:ChIJE93WJJnnIzoR5lKHnuz30oQ,part_352,2026-09-20 20:18:42,5730
