business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mom & Kids - Clothing Store in Rourkela,Kids Wear Store,Clothing store,Clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,3.9,407.0,"Daily Market, Near, Mangal Bhawan, Main Rd, Rourkela, Odisha 769001",Udit Nagar,22.226481699999997,84.85145059999999,ChIJfWF7dzYZIDoRRdyZMm0AvDo,https://www.google.com/maps/place/?q=place_id:ChIJfWF7dzYZIDoRRdyZMm0AvDo,part_355,2026-09-20 20:18:03,1083
NATKHAT KIDS WEAR,Kids Wear Store,Children's clothing store,Children's clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 94378 88279,N/A,5.0,1.0,"Power House Road, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.2244583,84.8501775,ChIJ_1BpNIsZIDoReUSrKD3N3iQ,https://www.google.com/maps/place/?q=place_id:ChIJ_1BpNIsZIDoReUSrKD3N3iQ,part_355,2026-09-20 20:18:03,1084
Zaree Kids,Kids Wear Store,Baby clothing store,Baby clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 63700 98685,https://www.facebook.com/zareetrends/,3.9,59.0,"parmar complex, Kachery Rd, Chandrapur, Udit Nagar, Rourkela, Odisha 769012","Chandrapur, Udit Nagar",22.226712799999998,84.8482461,ChIJnYQfujcZIDoRfy9M3PhaCUo,https://www.google.com/maps/place/?q=place_id:ChIJnYQfujcZIDoRfy9M3PhaCUo,part_355,2026-09-20 20:18:03,1085
Kids Club,Kids Wear Store,Clothing store,Clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 82603 43705,N/A,5.0,4.0,"Shop 28-29, Gajapati market, Bank Street, Sector 19, Rourkela, Raurkela Industrialship, Odisha 769005","Bank Street, Sector 19",22.2571521,84.865445,ChIJyfWmTmkfIDoR6KxhzY-Wk8k,https://www.google.com/maps/place/?q=place_id:ChIJyfWmTmkfIDoR6KxhzY-Wk8k,part_355,2026-09-20 20:18:03,1086
Vidya Women & Kids Garments,Kids Wear Store,Clothing store,Clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,,,"6RHW+JHQ, Malgodam Rd, Chandrapur, Basanti Nagar, Rourkela, Odisha 769012","Chandrapur, Basanti Nagar",22.2290875,84.84649639999999,ChIJdU8GB0gZIDoRuKpncnCZRKo,https://www.google.com/maps/place/?q=place_id:ChIJdU8GB0gZIDoRuKpncnCZRKo,part_355,2026-09-20 20:18:03,1087
Firstcry.com Store Rourkela Civil Township,Kids Wear Store,Baby store,Baby store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 81146 69017,http://www.firstcry.com/,4.5,169.0,"Civil Township, Rourkela, Odisha 769012",Civil Township,22.2272703,84.82488029999999,ChIJeTmy8hAZIDoRoBiPnUu_0jk,https://www.google.com/maps/place/?q=place_id:ChIJeTmy8hAZIDoRoBiPnUu_0jk,part_355,2026-09-20 20:18:03,1088
Priya Fashion,Kids Wear Store,Clothing store,Clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,5.0,1.0,"Main Rd, near kashinath petrol pump, Daily Market, Udit Nagar, Rourkela, Odisha 769001","Daily Market, Udit Nagar",22.226858399999998,84.8531512,ChIJX0HcPQoZIDoRSQsJBYPduFY,https://www.google.com/maps/place/?q=place_id:ChIJX0HcPQoZIDoRSQsJBYPduFY,part_355,2026-09-20 20:18:03,1089
Bothra Mega Bazar,Kids Wear Store,Clothing store,Clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,3.9,148.0,"Power House Road, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.2257474,84.8502161,ChIJs6MyxzYZIDoRQAb2dX0dYxg,https://www.google.com/maps/place/?q=place_id:ChIJs6MyxzYZIDoRQAb2dX0dYxg,part_355,2026-09-20 20:18:03,1090
Kids Birthday Center,Kids Wear Store,Childrens Store,"Childrens Store, Balloon store, Home goods store",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,http://www.kidsbirthdaycenter.link/,4.4,18.0,"Shop No-722, ispat Market, Bank Street, Sector 19, Rourkela, Raurkela Industrialship, Odisha 769005","Bank Street, Sector 19",22.2559063,84.8646917,ChIJKyIgcgMcIDoRNKR2Nn9cHVM,https://www.google.com/maps/place/?q=place_id:ChIJKyIgcgMcIDoRNKR2Nn9cHVM,part_355,2026-09-20 20:18:03,1091
Dizney Lifestyle,Kids Wear Store,Children's clothing store,Children's clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 94380 02994,N/A,4.0,26.0,"Panposh Chowk, Basti Road, Panposh, Rourkela, Odisha 769001","Basti Road, Panposh",22.2277366,84.80607619999999,ChIJ2figeTYZIDoRf8tBiT610-g,https://www.google.com/maps/place/?q=place_id:ChIJ2figeTYZIDoRf8tBiT610-g,part_355,2026-09-20 20:18:04,1092
Yousta,Kids Wear Store,Clothing store,Clothing store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 70089 89269,https://relianceretail.com/yousta.html,4.8,212.0,"N 4, Gopabandhu Nagar, Pl 96 252,94 251,95,105,106,107,132 253,133 254,104 255,108 256 109 257, Kha 3 Ra Ta U, N11 Township No 8, Rourkela, Odisha 769015","Gopabandhu Nagar, Chhend Colony",22.2432291,84.8270402,ChIJNUWmZgAZIDoRxWglmNHvGOI,https://www.google.com/maps/place/?q=place_id:ChIJNUWmZgAZIDoRxWglmNHvGOI,part_355,2026-09-20 20:18:04,1093
Saistylewold,Kids Wear Store,Baby store,Baby store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",N/A,N/A,,,"L-151 phase, 2, Basanti Nagar, Rourkela, Odisha 769012",Basanti Nagar,22.2331747,84.8403778,ChIJbUDw0FIZIDoRB9pkzDDTPBs,https://www.google.com/maps/place/?q=place_id:ChIJbUDw0FIZIDoRB9pkzDDTPBs,part_355,2026-09-20 20:18:04,1094
TRENDS,Kids Wear Store,Children's clothing store,"Children's clothing store, Baby clothing store, Clothing store, Clothing Accessories Store, Formal Clothing Store, Men's clothing store, Western apparel store, Youth clothing store",769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 63709 52093,https://trends.shop/page/trends-amabagan-chowk-rourkela,3.6,,"FE2 ARCADE, BESIDE BHANJA BHAWA, CHOWK, Sector 5, AMABAGAN, Rourkela, Odisha 769002",Sector 5,22.2529662,84.8655727,ChIJB3gijtQdIDoRdtRc6JGLUHs,https://www.google.com/maps/place/?q=place_id:ChIJB3gijtQdIDoRdtRc6JGLUHs,part_355,2026-09-20 20:18:04,1095
Star & Styles,Kids Wear Store,Childrens Store,Childrens Store,769002,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela - 2 S.O, Sector - 5 S.O, Sector - 6 S.O",+91 98611 40141,N/A,4.0,,"6VG2+G85, Main Rd, near Karur Vasya Bank, Udit Nagar, Rourkela, Odisha 769001",Udit Nagar,22.2262743,84.85087349999999,ChIJ4e4pZTYZIDoRr9o28jGG_io,https://www.google.com/maps/place/?q=place_id:ChIJ4e4pZTYZIDoRr9o28jGG_io,part_355,2026-09-20 20:18:05,1096
Purple United Kids (Rourkela),Kids Wear Store,Children's clothing store,Children's clothing store,769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",N/A,https://purpleunited.com/,4.9,43.0,"Second Floor, Plutone Mall, Ring Rd, Gopabandhu Nagar, Chhend Colony, Rourkela, Odisha 769009","Gopabandhu Nagar, Chhend Colony",22.2432701,84.8272343,ChIJi3oczAjYWwgR-hPQtZe5HuM,https://www.google.com/maps/place/?q=place_id:ChIJi3oczAjYWwgR-hPQtZe5HuM,part_355,2026-09-20 20:18:40,6788
Firstcry.com Store Rourkela Uditnagar,Kids Wear Store,Baby store,Baby store,769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 661 350 0233,N/A,4.8,2306.0,"Plot No. 348, 365/344, 2108 & 347(P, near Ambedkar Chowk, Udit Nagar, Rourkela, Odisha 769012",Udit Nagar,22.2268153,84.8408881,ChIJgZI_9dkZIDoRsICPA2TrzRI,https://www.google.com/maps/place/?q=place_id:ChIJgZI_9dkZIDoRsICPA2TrzRI,part_355,2026-09-20 20:18:40,6789
"Miniklub - Plutone Mall, Rourkela",Kids Wear Store,Baby store,Baby store,769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",N/A,https://miniklub.in/,4.9,37.0,"2nd Floor, Plutone Mall, Gopabandhu Nagar, Chhend Colony, Rourkela, Odisha 769015","Gopabandhu Nagar, Chhend Colony",22.243329,84.8270058,ChIJ4V3uDM0ZIDoRFV8MGLr1eks,https://www.google.com/maps/place/?q=place_id:ChIJ4V3uDM0ZIDoRFV8MGLr1eks,part_355,2026-09-20 20:18:40,6790
Relation,Kids Wear Store,Clothing store,"Clothing store, Baby clothing store, Jeans shop, Underwear store, Western apparel store, Youth clothing store",769003,Odisha circle,Sambalpur Region,Rourkela Division,"Kacharu B.O, Rourkela - 3 S.O, Sector - 15 S.O",+91 98615 41074,N/A,4.0,68.0,"Bisra Rd, Anand Bhawan Ln, near Choudhry Petrol Pump, Rourkela, Odisha 769001",Udit Nagar,22.2251586,84.8608406,ChIJra-5x8seIDoRSLJGkkgwUVI,https://www.google.com/maps/place/?q=place_id:ChIJra-5x8seIDoRSLJGkkgwUVI,part_355,2026-09-20 20:18:40,6791
